graph_id,stress,xing,xangle,iangle,ring
grafo2489.19,17.039486,4.0,1.5817895,73.17007,44.593372
grafo2490.22,19.56198,3.0,0.4798979,82.1665,50.041016
grafo2491.18,9.379543,0.0,0.0,79.239624,24.783607
grafo2492.34,36.154423,2.0,0.3393995,139.63365,65.427635
grafo2493.16,8.789826,1.0,0.12580016,58.75451,25.071472
grafo2494.17,7.685853,1.0,0.06013033,68.92434,29.138483
grafo2495.16,10.360689,2.0,0.15010805,55.66683,37.250137
grafo2496.49,153.97533,10.0,3.661285,207.13672,146.45143
grafo2497.49,163.79446,10.0,5.3549385,212.20343,146.6118
grafo2498.27,26.909592,1.0,0.69589925,106.37924,60.747772
grafo2499.23,14.757007,0.0,0.0,101.505104,41.849216
grafo2500.12,8.808297,4.0,1.801449,47.47205,28.521002
grafo2501.19,20.393984,5.0,2.1031852,63.605362,44.784378
grafo2502.15,10.255986,3.0,2.0085592,57.624382,31.561186
grafo2503.40,112.94911,26.0,13.297766,158.72214,157.13358
grafo2504.36,76.010864,13.0,5.8616447,139.15675,117.651054
grafo2505.13,3.6217647,0.0,0.0,55.14391,15.220865
grafo2506.43,99.91676,10.0,4.0765886,168.67616,132.35126
grafo2507.17,14.050832,8.0,3.0015793,71.747894,42.249565
grafo2508.24,18.61251,0.0,0.0,109.130356,40.350803
grafo2509.37,57.248764,8.0,3.7349164,160.2403,95.01656
grafo2510.48,119.86338,11.0,4.5696235,184.97716,125.12721
grafo2511.10,1.8589051,0.0,0.0,42.07567,11.802502
grafo2512.12,2.6932871,0.0,0.0,44.4014,17.82991
grafo2513.24,24.028864,4.0,1.640228,92.66761,51.191063
grafo2514.15,11.094612,2.0,1.3390083,58.89893,28.083986
grafo2515.12,4.431664,0.0,0.0,49.85123,19.096687
grafo2516.21,11.965297,1.0,0.18958127,88.554276,33.518612
grafo2517.24,11.707814,0.0,0.0,97.85992,42.183884
grafo2518.13,3.3972557,0.0,0.0,54.214836,17.939932
grafo2519.37,39.94833,0.0,0.0,150.63667,70.56071
grafo2520.17,11.544545,5.0,1.9516343,68.04539,38.52324
grafo2521.37,60.52042,3.0,0.9002526,153.33495,75.54219
grafo2522.28,33.928318,4.0,3.0014117,123.9297,67.9022
grafo2523.40,101.1353,14.0,4.8019085,157.97108,128.27217
grafo2524.22,11.961962,2.0,0.9303326,79.83406,37.433956
grafo2525.16,6.1055913,0.0,0.0,55.14289,25.412457
grafo2526.13,2.548199,0.0,0.0,49.157043,18.48028
grafo2527.14,4.701746,0.0,0.0,56.952305,20.631975
grafo2528.37,74.492424,11.0,5.2525797,155.87125,113.52426
grafo2529.40,100.922676,4.0,2.0701883,172.61662,115.078865
grafo2530.38,66.21241,7.0,2.1267343,146.16068,111.923744
grafo2531.41,97.094864,15.0,8.696686,167.8846,135.8948
grafo2532.14,4.1174088,0.0,0.0,55.852066,20.576174
grafo2533.18,5.4835567,0.0,0.0,74.66836,24.914589
grafo2534.22,16.499447,1.0,0.3108547,87.63407,38.76475
grafo2535.48,104.92642,8.0,2.9342463,193.58342,118.7126
grafo2536.25,27.978178,1.0,0.017325314,107.05694,55.058704
grafo2537.16,4.151238,0.0,0.0,58.047974,23.68266
grafo2538.10,2.4351196,0.0,0.0,43.344193,11.271194
grafo2539.32,55.830345,6.0,3.2274811,128.62402,78.96076
grafo2540.22,18.72137,0.0,0.0,87.21464,41.96365
grafo2541.14,9.653436,5.0,3.5619256,54.53519,32.87573
grafo2542.16,12.2970085,2.0,0.4702201,50.57176,35.260696
grafo2543.38,35.08175,1.0,0.23892711,162.68784,64.03595
grafo2544.28,23.729685,1.0,0.3295048,116.6911,58.026447
grafo2545.20,9.992607,1.0,0.07887265,80.513214,31.391594
grafo2546.19,15.963974,1.0,0.32662886,81.311905,43.644463
grafo2547.17,7.890053,1.0,0.06043842,67.123375,24.555891
grafo2548.38,90.759895,8.0,2.5977285,167.23996,114.98831
grafo2549.16,9.739191,2.0,0.8922974,61.54639,31.571123
grafo2550.26,29.64097,2.0,0.29576382,105.98277,53.164642
grafo2551.23,27.626694,5.0,1.0899284,92.28247,62.395405
grafo2552.22,17.686565,1.0,0.09925831,89.09003,39.326374
grafo2553.18,5.1550627,0.0,0.0,75.656746,21.365784
grafo2554.20,17.035105,2.0,0.641683,74.76207,38.672844
grafo2555.14,3.5021942,0.0,0.0,57.904587,24.53592
grafo2556.18,8.787697,0.0,0.0,74.86974,32.109146
grafo2557.37,53.005325,3.0,0.8595284,150.18536,79.16941
grafo2558.34,73.53284,12.0,6.6357045,134.97762,104.4783
grafo2559.13,5.2412343,0.0,0.0,47.449905,21.272411
grafo2560.15,7.3357882,0.0,0.0,61.278572,25.896101
grafo2561.14,12.030114,3.0,0.5413443,54.062004,31.252195
grafo2562.19,20.414968,5.0,2.0882754,74.58835,54.751465
grafo2563.14,8.580464,0.0,0.0,58.019085,26.218988
grafo2564.20,15.0694685,1.0,0.4675718,86.14348,33.92927
grafo2565.17,15.016187,3.0,0.9167197,60.29952,39.561348
grafo2566.40,110.14548,18.0,7.5932817,172.34389,145.05855
grafo2567.13,4.2351894,0.0,0.0,39.052315,16.815935
grafo2568.15,4.3807573,0.0,0.0,56.430325,22.406185
grafo2569.14,10.727052,2.0,0.6135698,53.36043,24.767729
grafo2570.15,13.903254,5.0,2.3609538,54.616947,36.431858
grafo2571.21,18.379398,3.0,0.541165,77.67555,48.32268
grafo2572.28,28.354605,1.0,0.07302625,118.188835,62.935055
grafo2573.35,51.022537,7.0,3.172669,138.10936,80.161804
grafo2574.15,8.148128,1.0,0.30519804,59.706066,27.309933
grafo2575.13,3.1300185,0.0,0.0,48.90029,14.844284
grafo2576.18,23.472187,3.0,2.5805569,64.882835,49.223423
grafo2577.17,15.420514,3.0,2.0442462,65.76611,34.97958
grafo2578.34,22.221268,0.0,0.0,139.88356,48.22544
grafo2579.11,1.7561514,0.0,0.0,47.26421,13.23309
grafo2580.15,4.9313397,0.0,0.0,54.413605,19.273575
grafo2581.45,124.29456,10.0,3.7844794,175.8411,122.17171
grafo2582.27,25.96444,0.0,0.0,126.41327,38.19624
grafo2583.16,5.9982243,0.0,0.0,59.961113,22.606865
grafo2584.16,11.382998,3.0,1.4270127,54.738068,35.130756
grafo2585.16,5.5975823,0.0,0.0,52.48603,23.166052
grafo2586.15,6.9122834,0.0,0.0,54.479748,24.024565
grafo2587.24,21.52124,1.0,0.3972438,101.72198,46.720932
grafo2588.24,15.790458,1.0,0.20159441,96.71848,41.21595
grafo2589.26,42.423504,8.0,3.14947,102.88949,76.83029
grafo2590.14,4.3331084,0.0,0.0,47.351883,16.01927
grafo2591.15,7.7626433,2.0,0.40273213,57.923088,34.306656
grafo2592.12,5.0440845,1.0,0.2403343,42.92061,21.770794
grafo2593.40,113.32856,13.0,6.273482,154.30157,129.81476
grafo2594.17,15.284552,3.0,0.6588912,63.320778,36.30009
grafo2595.13,4.174507,0.0,0.0,44.970276,13.232998
